,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Unnamed: 0,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,firstInit
159,100,Jul 27,True,LAD,"W,2-1",33,28,2,6,1,0,0,1,2,0,7,2,1,0,0,1,0,0,0.243,0.327,0.435,0.762,7,16,L,J.Urías(58),2125,143.0,3.13,1.018,7.3,0.9,1.8,9.5,5.13,J
160,101,Jul 28,True,LAD,"L,0-8",33,31,0,5,0,0,0,0,2,0,9,0,0,0,0,2,0,0,0.242,0.326,0.433,0.758,6,16,R,W.Buehler(77),2124,171.0,3.16,0.968,6.5,0.8,2.3,9.2,4.08,W
161,102,Jul 29,True,LAD,"W,5-0",39,32,5,9,3,1,0,5,6,3,8,0,1,0,1,0,1,0,0.243,0.326,0.433,0.759,10,16,L,D.Price(40),2135,105.0,4.23,1.425,9.7,1.0,3.2,7.1,2.23,D
162,103,Jul 30,True,HOU,"L,6-9",43,38,6,11,4,0,0,6,4,0,11,0,0,1,1,0,0,0,0.243,0.326,0.432,0.759,10,18,L,F.Valdez(54),1846,137.0,4.01,1.248,7.4,0.8,3.9,8.4,2.16,F
163,104,Jul 31,True,HOU,"W,8-6",41,37,8,14,1,0,5,8,3,0,12,1,0,0,1,1,1,0,0.245,0.328,0.436,0.764,9,17,R,Z.Greinke(28),1843,103.0,4.71,1.17,8.6,1.6,1.9,6.3,3.33,Z
164,105,Aug 1,True,HOU,"W,5-3",36,32,5,10,2,0,2,5,3,0,9,0,1,0,0,1,1,0,0.245,0.328,0.438,0.766,7,14,R,L.García(33),1845,123.0,3.63,1.178,7.7,1.1,2.9,9.7,3.34,L
165,106,Aug 2,False,ARI,"W,11-8",45,39,11,10,1,1,3,11,5,1,11,0,1,0,0,0,0,0,0.246,0.328,0.439,0.767,5,16,R,T.Widener(37),199,97.0,5.56,1.45,8.3,1.8,4.7,9.3,1.97,T
166,107,Aug 3,False,ARI,"L,1-3",34,33,1,7,3,0,1,1,1,0,7,0,0,0,0,0,0,0,0.245,0.327,0.439,0.766,6,12,L,M.Bumgarner(64),197,90.0,4.63,1.182,8.2,1.5,2.4,7.6,3.18,M
167,108,Aug 4,False,ARI,"W,7-1",41,37,7,9,1,0,2,7,4,0,12,0,0,0,0,0,1,0,0.245,0.327,0.438,0.766,7,15,R,Z.Gallen(52),198,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,Z
168,109,Aug 5,False,ARI,"W,5-4",43,39,5,9,4,0,0,5,3,0,7,1,0,0,0,0,0,0,0.245,0.327,0.437,0.764,9,21,R,M.Kelly(78),196,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,M
169,110,Aug 6,False,MIL,"L,1-2",37,36,1,5,0,0,1,1,1,0,10,0,0,0,1,0,1,0,0.244,0.326,0.435,0.761,7,17,R,C.Burnes(69),2290,170.0,1.63,0.94,6.6,0.4,1.8,12.6,6.88,C
170,111,Aug 7,False,MIL,"W,9-6",51,46,9,13,2,0,2,8,4,2,11,0,0,1,1,0,0,0,0.244,0.326,0.436,0.761,11,22,R,B.Woodruff(63),2289,161.0,2.96,0.965,6.5,0.9,2.2,10.6,4.91,B
171,112,Aug 8,False,MIL,"W,5-4",39,33,5,8,2,0,2,5,4,0,7,0,1,1,1,1,0,0,0.244,0.326,0.436,0.761,7,15,L,B.Anderson(56),2294,98.0,4.39,1.354,9.6,1.0,2.6,5.4,2.07,B
172,113,Aug 10,True,ARI,"W,8-7",41,36,8,10,4,0,1,7,5,2,7,0,0,0,0,0,0,0,0.245,0.326,0.436,0.762,7,17,R,Z.Gallen(44),198,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,Z
173,114,Aug 11,True,ARI,"W,7-2",37,36,7,14,2,0,4,7,1,0,5,0,0,0,0,1,0,0,0.246,0.327,0.44,0.766,6,17,R,M.Kelly(27),196,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,M
