,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
478,95,Jul 16,False,BAL,"L,4-5",37,35,4,8,4,0,0,4,1,0,8,1,0,0,0,0,0,0,0.264,0.323,0.4,0.723,6,11,R,K.Bradish(79)
479,96,Jul 17,False,STL,"L,4-6",40,38,4,12,2,0,2,4,1,0,4,1,0,0,0,1,0,0,0.265,0.323,0.402,0.725,9,10,R,M.Mikolas(49)
480,97,Jul 18,False,STL,"L,2-5",42,39,2,11,0,1,0,2,2,0,13,0,0,1,0,1,1,0,0.265,0.323,0.401,0.724,11,12,L,J.Montgomery(59)
481,98,Jul 19,False,STL,"L,4-6",38,37,4,12,2,0,1,4,1,0,4,0,0,0,0,2,0,0,0.265,0.323,0.402,0.725,7,11,R,D.Hudson(42)
482,99,Jul 21,True,COL,"L,1-6",36,34,1,7,1,0,0,1,2,0,8,0,0,0,0,0,0,0,0.265,0.322,0.4,0.722,8,10,R,P.Lambert(63)
483,100,Jul 22,True,COL,"L,3-4",36,33,3,9,1,1,0,3,2,0,8,0,0,1,0,2,1,0,0.265,0.322,0.4,0.722,6,11,R,C.Anderson(51)
484,101,Jul 23,True,COL,"W,3-2",37,32,3,7,2,0,0,3,3,1,8,0,1,1,0,1,0,0,0.264,0.322,0.399,0.72,7,12,L,T.Blach(57)
485,102,Jul 25,False,TBR,"L,1-4",30,28,1,2,0,0,0,0,2,0,11,0,0,0,0,0,0,1,0.263,0.32,0.396,0.716,2,9,R,T.Glasnow(75)
486,103,Jul 26,False,TBR,"W,7-1",40,36,7,11,4,1,1,7,2,1,10,0,1,1,0,0,0,0,0.263,0.32,0.398,0.718,6,10,R,Z.Eflin(30)
487,104,Jul 28,True,DET,"W,6-5",35,34,6,12,3,0,1,6,0,0,4,0,0,1,1,1,0,0,0.264,0.321,0.399,0.719,5,10,R,R.Olson(42)
488,105,Jul 29,True,DET,"L,0-5",36,34,0,7,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0.264,0.32,0.397,0.717,9,12,R,B.Brieske(52)
489,106,Jul 30,True,DET,"W,8-6",38,37,8,13,2,1,2,8,1,0,6,0,0,0,1,1,1,0,0.265,0.32,0.399,0.72,6,10,L,T.Skubal(40)
490,107,Jul 31,True,PHI,"L,2-4",36,33,2,7,1,0,1,2,3,0,5,0,0,0,0,1,1,0,0.264,0.32,0.399,0.719,7,10,R,T.Walker(56)
491,108,Aug 1,True,PHI,"L,1-3",39,34,1,11,2,0,0,1,4,0,5,0,1,0,0,2,0,0,0.265,0.321,0.399,0.719,11,10,L,R.Suárez(50)
492,109,Aug 2,True,PHI,"W,9-8",52,44,9,13,2,0,3,9,5,1,6,2,0,1,0,1,0,0,0.265,0.322,0.4,0.722,13,12,R,Z.Wheeler(57)
