,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
0,1,Jul 24,False,PHI,"W,5-2",38,34,5,9,2,0,1,4,3,0,9,0,0,1,0,0,1,1,0.265,0.316,0.412,0.728,6,10,R,A.Nola(48)
1,2,Jul 25,False,PHI,"L,1-7",32,29,1,6,1,0,0,1,3,0,7,0,0,0,0,4,0,0,0.238,0.3,0.333,0.633,4,9,R,Z.Wheeler(65)
2,3,Jul 26,False,PHI,"W,11-6",44,38,11,12,1,2,4,11,4,0,8,2,0,0,1,0,0,0,0.267,0.342,0.495,0.837,6,9,R,V.Velasquez(39)
3,4,Aug 4,False,BAL,"W,4-0",35,33,4,6,1,0,2,3,2,0,6,0,0,0,0,1,1,0,0.246,0.315,0.47,0.786,4,10,L,J.Means(60)
4,5,Aug 5 (1),False,BAL,"W,1-0",29,25,1,2,0,0,1,1,4,0,11,0,0,0,2,0,0,0,0.22,0.298,0.428,0.725,7,10,R,A.Cobb(63)
5,6,Aug 5 (2),False,BAL,"W,2-1",23,21,2,4,1,0,0,2,1,0,4,0,0,1,0,0,1,0,0.217,0.289,0.406,0.694,3,10,R,A.Wojciechowski(54)
6,7,Aug 6,False,BAL,"W,8-7",38,33,8,11,2,1,1,7,1,0,6,2,0,2,0,0,2,0,0.235,0.301,0.427,0.728,6,10,L,W.LeBlanc(22)
7,8,Aug 7,False,NYM,"W,4-3",37,33,4,7,3,0,1,4,4,0,16,0,0,0,0,0,1,1,0.232,0.301,0.423,0.723,6,10,R,M.Wacha(46)
8,9,Aug 8,False,NYM,"L,4-8",40,33,4,8,0,0,1,4,7,0,9,0,0,0,0,2,0,0,0.233,0.31,0.412,0.722,9,10,L,D.Peterson(51)
9,10,Aug 9,False,NYM,"L,2-4",39,35,2,9,1,0,1,2,4,0,12,0,0,0,1,2,2,0,0.236,0.313,0.408,0.72,10,9,R,J.deGrom(49)
10,11,Aug 11,False,TOR,"L,4-5",38,34,4,4,1,0,2,4,4,1,9,0,0,0,1,1,1,0,0.224,0.303,0.399,0.702,5,10,L,H.Ryu(69)
11,12,Aug 12,False,TOR,"W,14-11",50,43,14,14,0,0,1,11,6,0,13,0,1,0,2,0,4,0,0.235,0.314,0.399,0.713,7,12,R,N.Pearson(22)
12,13,Aug 14,True,ATL,"W,8-2",42,32,8,10,2,0,0,7,8,0,5,0,1,1,1,1,4,0,0.241,0.325,0.397,0.722,10,10,R,K.Wright(38)
13,14,Aug 15,True,ATL,"L,1-2",34,31,1,6,2,0,1,1,3,0,10,0,0,0,1,1,1,1,0.238,0.321,0.394,0.715,6,12,L,M.Fried(69)
14,15,Aug 16,True,ATL,"L,0-4",28,27,0,2,0,0,0,0,1,0,11,0,0,0,0,2,1,0,0.229,0.31,0.376,0.686,1,10,L,R.Erlin(65)
15,16,Aug 17,True,NYM,"L,4-11",46,38,4,11,2,0,1,4,7,0,11,1,0,0,0,0,1,0,0.233,0.318,0.38,0.698,15,12,R,R.Gsellman(44)
16,17,Aug 18,True,NYM,"L,3-8",38,37,3,11,3,0,0,3,0,0,10,1,0,0,0,0,1,0,0.237,0.318,0.379,0.697,8,10,R,C.Oswalt(49)
17,18,Aug 19,True,NYM,"L,3-5",39,35,3,7,0,0,0,2,3,0,12,1,0,0,1,0,0,0,0.235,0.316,0.369,0.685,9,11,R,J.deGrom(71)
18,19,Aug 21,False,WSN,"W,3-2",38,35,3,9,2,0,1,3,3,0,14,0,0,0,0,0,0,1,0.236,0.316,0.371,0.686,8,9,L,P.Corbin(52)
19,20,Aug 22 (1),False,WSN,"L,4-5",31,28,4,7,1,0,1,4,2,0,8,1,0,0,0,0,1,0,0.237,0.316,0.372,0.688,6,9,R,M.Scherzer(37)
20,21,Aug 22 (2),False,WSN,"W,5-3",31,26,5,8,0,0,1,4,4,0,4,0,0,1,1,0,0,1,0.24,0.319,0.374,0.693,8,11,R,W.Crowe(37)
21,22,Aug 23,False,WSN,"L,3-9",34,34,3,9,1,0,1,3,0,0,8,0,0,0,0,2,0,0,0.241,0.317,0.374,0.691,4,12,R,A.Sánchez(68)
22,23,Aug 24,False,WSN,"W,11-8",50,43,11,17,2,0,1,11,6,0,9,1,0,0,0,1,1,0,0.25,0.326,0.382,0.708,12,9,R,A.Voth(25)
23,24,Aug 25 (1),False,NYM,"W,4-0",29,27,4,6,2,0,0,4,1,0,7,1,0,0,0,0,1,0,0.249,0.325,0.379,0.703,4,10,R,R.Porcello(37)
24,25,Aug 25 (2),False,NYM,"W,3-0",23,20,3,2,1,0,0,2,2,0,6,1,0,0,0,0,3,0,0.245,0.322,0.373,0.695,2,11,R,S.Lugo(64)
25,26,Aug 26,False,NYM,"L,4-5",36,31,4,6,1,0,0,4,5,0,16,0,0,0,0,1,0,1,0.243,0.321,0.368,0.689,5,11,R,J.deGrom(81)
26,27,Aug 28,True,TBR,"L,0-2",33,31,0,5,2,0,0,0,1,0,7,1,0,0,0,0,0,1,0.24,0.318,0.363,0.68,6,10,L,R.Yarbrough(71)
27,28,Aug 29,True,TBR,"L,0-4",30,29,0,3,1,0,0,0,1,0,11,0,0,0,0,0,0,1,0.236,0.312,0.355,0.667,3,9,L,J.Fleming(68)
28,29,Aug 30,True,TBR,"L,7-12",40,34,7,9,2,0,3,7,5,0,8,1,0,0,0,1,0,1,0.237,0.314,0.364,0.678,6,10,L,B.Snell(54)
29,30,Aug 31,False,NYM,"W,5-3",38,35,5,8,2,0,2,5,3,0,13,0,0,0,1,0,4,1,0.237,0.314,0.367,0.681,6,11,R,J.deGrom(57)
30,31,Sep 1,True,TOR,"W,3-2",32,30,3,7,3,0,2,3,2,0,10,0,0,0,1,1,0,1,0.236,0.313,0.372,0.685,5,11,R,J.Merryweather(58)
31,32,Sep 2,True,TOR,"L,1-2",37,33,1,6,1,0,0,1,3,0,9,1,0,0,0,1,0,0,0.235,0.311,0.367,0.678,9,11,L,H.Ryu(64)
32,33,Sep 4,False,TBR,"L,4-5",37,35,4,8,2,0,2,4,2,0,8,0,0,0,0,1,0,0,0.234,0.31,0.37,0.68,6,11,L,J.Fleming(39)
33,34,Sep 5,False,TBR,"W,7-3",40,35,7,8,2,0,1,5,5,0,10,0,0,0,0,0,0,0,0.234,0.311,0.37,0.681,6,10,L,B.Snell(42)
34,35,Sep 6,False,TBR,"L,4-5",41,36,4,8,1,1,1,4,5,0,12,0,0,0,0,1,1,2,0.234,0.311,0.371,0.681,8,14,R,T.Glasnow(54)
35,36,Sep 7,False,ATL,"W,5-4",47,39,5,9,3,0,0,5,7,2,7,0,1,0,1,0,0,0,0.234,0.312,0.369,0.681,13,13,R,I.Anderson(49)
36,37,Sep 8,False,ATL,"W,8-0",43,39,8,13,1,0,3,7,3,0,9,1,0,0,0,2,2,0,0.237,0.315,0.376,0.69,8,11,R,K.Wright(30)
37,38,Sep 9,False,ATL,"L,9-29",43,38,9,13,3,1,2,9,4,0,7,0,0,1,0,1,0,0,0.24,0.317,0.384,0.701,7,10,L,T.Milone(14)
38,39,Sep 10,True,PHI,"W,7-6",45,36,7,11,3,0,0,7,8,1,6,0,0,1,0,0,2,0,0.242,0.32,0.384,0.704,12,10,R,J.Arrieta(46)
39,40,Sep 11 (1),True,PHI,"L,0-11",25,23,0,3,0,0,0,0,0,0,10,2,0,0,0,1,1,0,0.24,0.318,0.379,0.698,4,12,R,A.Nola(81)
40,41,Sep 11 (2),True,PHI,"W,5-3",30,28,5,10,0,0,1,5,2,0,5,0,0,0,0,0,1,0,0.243,0.32,0.381,0.701,7,11,R,B.Parker(59)
41,42,Sep 12,True,PHI,"L,6-12",37,34,6,10,2,0,2,5,3,0,8,0,0,0,0,2,0,0,0.244,0.321,0.385,0.705,4,11,R,S.Howard(48)
42,43,Sep 13 (1),True,PHI,"W,2-1",26,22,2,4,0,0,0,2,3,0,10,1,0,0,0,0,0,0,0.243,0.321,0.381,0.702,6,10,R,R.Rosso(45)
43,44,Sep 13 (2),True,PHI,"W,8-1",31,28,8,12,4,0,1,8,3,0,5,0,0,0,0,1,0,0,0.246,0.324,0.387,0.711,5,11,R,Z.Eflin(32)
44,45,Sep 14,True,PHI,"W,6-2",35,33,6,9,3,0,2,6,2,0,12,0,0,0,0,0,0,0,0.247,0.324,0.391,0.714,5,12,R,V.Velasquez(35)
45,46,Sep 15,True,BOS,"L,0-2",33,30,0,4,1,0,0,0,3,0,11,0,0,0,0,0,0,0,0.245,0.321,0.386,0.708,6,9,R,T.Houck(67)
46,47,Sep 16,True,BOS,"W,8-4",36,33,8,9,2,0,3,8,3,0,8,0,0,0,0,0,1,0,0.245,0.322,0.391,0.713,4,10,L,M.Kickham(23)
47,48,Sep 17,True,BOS,"L,3-5",37,35,3,7,2,0,0,3,1,0,12,1,0,0,1,0,1,0,0.244,0.32,0.388,0.708,7,11,R,N.Eovaldi(70)
48,49,Sep 18 (1),True,WSN,"L,0-5",26,23,0,2,0,0,0,0,2,0,7,1,0,0,1,0,2,1,0.242,0.318,0.384,0.702,5,9,R,E.Fedde(74)
49,50,Sep 18 (2),True,WSN,"W,14-3",38,31,14,12,1,0,4,14,5,0,6,2,0,0,0,1,1,0,0.245,0.322,0.392,0.714,6,10,R,W.Crowe(26)
50,51,Sep 19,True,WSN,"W,7-3",40,38,7,15,3,0,2,7,2,1,9,0,0,0,1,1,2,0,0.248,0.324,0.397,0.722,9,10,L,P.Corbin(23)
51,52,Sep 20 (1),True,WSN,"W,2-1",27,25,2,5,0,0,0,0,2,1,7,0,0,0,2,0,1,0,0.248,0.323,0.394,0.718,7,11,R,M.Scherzer(59)
52,53,Sep 20 (2),True,WSN,"L,0-15",26,23,0,2,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0.245,0.321,0.391,0.712,5,10,L,B.Braymer(66)
53,54,Sep 21,False,ATL,"L,4-5",41,34,4,9,1,0,0,4,6,0,8,1,0,0,0,1,3,0,0.246,0.323,0.389,0.712,10,11,R,H.Ynoa(37)
54,55,Sep 22,False,ATL,"L,1-11",36,34,1,10,0,0,1,1,2,0,10,0,0,0,0,2,0,0,0.247,0.323,0.389,0.712,8,12,R,B.Wilson(67)
55,56,Sep 23,False,ATL,"L,4-9",34,33,4,7,1,0,2,4,1,0,10,0,0,0,0,1,0,0,0.246,0.322,0.39,0.711,3,9,L,M.Fried(39)
56,57,Sep 24,False,ATL,"W,4-2",40,38,4,9,1,0,1,4,2,0,10,0,0,0,3,0,1,0,0.246,0.321,0.389,0.709,9,12,R,I.Anderson(55)
57,58,Sep 25,False,NYY,"W,4-3",40,33,4,3,0,0,1,4,2,0,7,1,2,1,2,0,0,0,0.243,0.318,0.385,0.703,7,12,L,J.Happ(50)
58,59,Sep 26,False,NYY,"L,4-11",41,37,4,10,1,0,0,4,3,0,12,0,1,0,1,0,1,0,0.244,0.318,0.383,0.701,10,9,R,D.García(50)
59,60,Sep 27,False,NYY,"W,5-0",40,35,5,9,1,0,2,5,4,0,7,1,0,0,0,1,0,0,0.244,0.319,0.384,0.703,8,10,R,C.Schmidt(44)
60,1,Apr 1,True,TBR,"L,0-1",31,30,0,3,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0.1,0.129,0.1,0.229,4,15,R,T.Glasnow(76)
61,2,Apr 2,True,TBR,"L,4-6",39,36,4,10,2,1,0,3,3,0,7,0,0,0,0,0,1,0,0.197,0.243,0.258,0.5,8,17,L,R.Yarbrough(64)
62,3,Apr 3,True,TBR,"W,12-7",42,35,12,14,4,1,2,11,5,0,10,0,0,2,1,1,4,0,0.267,0.321,0.426,0.747,6,18,L,R.Hill(38)
63,4,Apr 5,True,STL,"L,1-4",35,31,1,5,1,0,0,1,1,0,6,2,0,1,0,0,0,0,0.242,0.299,0.371,0.671,7,15,R,D.Ponce de Leon(59)
64,5,Apr 6,True,STL,"L,2-4",40,32,2,7,1,0,0,1,6,0,10,1,0,1,1,2,1,0,0.238,0.31,0.348,0.658,11,15,R,J.Gant(53)
65,6,Apr 7,True,STL,"L,0-7",34,29,0,3,1,0,0,0,5,0,9,0,0,0,0,0,0,1,0.218,0.299,0.316,0.615,7,14,R,J.Flaherty(72)
66,7,Apr 8,False,NYM,"L,2-3",34,31,2,5,1,0,0,2,3,0,7,0,0,0,0,0,0,1,0.21,0.29,0.299,0.589,5,16,R,T.Walker(58)
67,8,Apr 10,False,NYM,"W,3-0",35,34,3,8,3,0,1,3,1,0,15,0,0,0,0,0,1,0,0.213,0.286,0.314,0.6,5,14,R,J.deGrom(82)
68,9,Apr 11 susp,False,NYM,"L,5-6",43,36,5,10,3,0,0,5,4,0,12,2,1,0,1,1,4,0,0.221,0.298,0.32,0.618,11,21,R,M.Stroman(49)
69,10,Apr 12,False,ATL,"W,5-3",43,37,5,8,4,0,1,5,6,0,11,0,0,0,0,0,0,1,0.221,0.301,0.329,0.631,9,15,R,H.Ynoa(71)
70,11,Apr 13,False,ATL,"W,14-8",49,44,14,17,5,0,3,14,3,0,8,2,0,0,0,0,0,0,0.24,0.318,0.373,0.692,8,17,L,M.Fried(15)
71,12,Apr 14,False,ATL,"W,6-5",42,36,6,9,2,0,1,6,5,0,18,1,0,0,0,2,2,0,0.241,0.322,0.375,0.697,7,16,R,C.Morton(45)
72,13,Apr 15,False,ATL,"L,6-7",41,35,6,9,3,0,1,6,5,0,10,0,1,0,0,0,0,0,0.242,0.324,0.379,0.703,8,16,R,I.Anderson(45)
73,14,Apr 16,True,SFG,"W,4-1",32,31,4,7,1,0,2,4,1,0,6,0,0,0,0,0,0,0,0.241,0.32,0.384,0.703,4,16,R,A.DeSclafani(64)
74,15,Apr 17,True,SFG,"W,7-6",53,44,7,15,3,1,0,7,6,0,10,3,0,0,0,0,2,0,0.25,0.332,0.39,0.721,18,17,R,A.Sanchez(52)
75,16,Apr 18,True,SFG,"L,0-1",29,29,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0.244,0.323,0.376,0.699,2,15,L,A.Wood(63)
76,17,Apr 20,True,BAL,"L,5-7",42,38,5,11,0,1,0,5,3,0,11,0,0,1,1,0,0,0,0.247,0.323,0.374,0.697,10,19,R,M.Harvey(43)
77,18,Apr 21,True,BAL,"W,3-0",34,30,3,9,1,0,0,3,3,0,7,0,1,0,0,1,1,0,0.249,0.325,0.372,0.697,7,11,L,B.Zimmermann(42)
78,19,Apr 22,False,SFG,"L,0-3",29,27,0,2,0,0,0,0,1,0,8,1,0,0,0,2,0,0,0.242,0.318,0.36,0.677,2,14,R,A.Sanchez(65)
79,20,Apr 23,False,SFG,"L,3-5",31,30,3,3,0,0,2,3,1,0,10,0,0,0,1,1,0,0,0.236,0.31,0.357,0.667,1,15,L,A.Wood(77)
80,21,Apr 24,False,SFG,"W,5-2",36,33,5,6,0,1,2,5,2,0,12,0,0,1,0,0,0,0,0.233,0.306,0.36,0.666,4,15,R,K.Gausman(84)
81,22,Apr 25,False,SFG,"L,3-4",37,32,3,8,0,0,1,3,3,0,11,2,0,0,0,3,1,0,0.234,0.308,0.359,0.667,7,17,R,L.Webb(76)
82,23,Apr 26,False,MIL,"W,8-0",41,37,8,11,3,0,2,7,2,0,15,1,0,1,0,0,2,0,0.237,0.31,0.368,0.678,6,13,R,C.Burnes(42)
83,24,Apr 27,False,MIL,"L,4-5",36,32,4,7,0,0,2,3,3,0,13,0,0,1,0,0,1,1,0.236,0.308,0.37,0.678,5,16,R,A.Houser(53)
84,25,Apr 28,False,MIL,"W,6-2",43,31,6,5,0,0,1,5,10,1,11,1,0,0,0,0,1,1,0.233,0.312,0.365,0.677,10,13,R,Z.Godley(43)
85,26,Apr 30,False,WSN,"L,1-2",40,34,1,7,2,0,0,1,5,3,4,0,1,0,0,1,0,0,0.232,0.311,0.362,0.673,10,14,L,J.Lester(56)
86,27,May 1,False,WSN,"L,2-7",35,28,2,4,2,0,1,2,6,1,8,0,0,1,1,2,0,0,0.229,0.31,0.36,0.671,6,16,L,P.Corbin(61)
87,28,May 2,False,WSN,"L,1-3",31,30,1,5,0,0,1,1,0,0,9,1,0,0,0,1,1,1,0.227,0.307,0.357,0.664,3,14,R,M.Scherzer(82)
88,29,May 4,True,ARI,"W,9-3",38,35,9,12,2,0,2,8,3,1,6,0,0,0,0,1,0,0,0.232,0.31,0.365,0.675,5,15,R,R.Smith(47)
89,30,May 5,True,ARI,"W,8-0",36,34,8,10,1,1,1,8,2,0,9,0,0,0,0,0,0,0,0.234,0.311,0.369,0.679,4,15,R,L.Weaver(30)
90,31,May 6,True,ARI,"W,3-1",29,27,3,5,0,0,2,3,0,0,8,1,0,1,0,0,0,0,0.232,0.308,0.37,0.678,2,15,L,M.Bumgarner(71)
91,32,May 7,True,MIL,"W,6-1",34,31,6,10,3,0,1,6,3,0,8,0,0,0,0,2,0,0,0.235,0.31,0.374,0.684,4,13,L,B.Suter(38)
92,33,May 8,True,MIL,"L,2-6",33,33,2,6,1,0,1,2,0,0,18,0,0,0,0,0,1,0,0.234,0.307,0.372,0.679,4,16,R,A.Houser(64)
93,34,May 9,True,MIL,"L,1-2",37,34,1,6,0,0,1,1,2,0,12,1,0,0,0,0,0,1,0.232,0.305,0.369,0.674,7,15,L,B.Anderson(57)
94,35,May 10,False,ARI,"L,2-5",34,34,2,8,1,2,1,2,0,0,8,0,0,0,0,0,0,0,0.232,0.303,0.372,0.675,5,15,R,L.Weaver(71)
95,36,May 11,False,ARI,"L,3-11",36,34,3,7,4,0,1,3,2,0,10,0,0,0,0,0,1,0,0.231,0.302,0.373,0.674,6,14,L,M.Bumgarner(78)
96,37,May 12,False,ARI,"W,3-2",39,36,3,11,0,0,2,3,2,1,8,0,1,0,0,1,0,0,0.233,0.303,0.376,0.678,9,16,R,M.Peacock(44)
97,38,May 13,False,ARI,"W,5-1",39,37,5,12,3,0,0,5,2,0,5,0,0,0,0,1,0,0,0.236,0.304,0.376,0.681,7,14,R,M.Kelly(49)
98,39,May 14,False,LAD,"L,6-9",39,34,6,8,2,0,1,6,2,0,14,2,1,0,0,0,0,0,0.236,0.305,0.377,0.681,6,19,L,C.Kershaw(50)
99,40,May 15,False,LAD,"L,0-7",31,30,0,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0.232,0.3,0.37,0.67,4,13,R,T.Bauer(83)
100,41,May 16,False,LAD,"W,3-2",37,34,3,6,2,0,1,3,3,0,12,0,0,0,1,0,2,0,0.231,0.299,0.368,0.667,7,16,R,J.Nelson(54)
101,42,May 18,False,PHI,"L,3-8",34,33,3,6,1,0,1,3,0,0,15,0,0,1,0,0,3,0,0.23,0.296,0.367,0.663,4,15,R,Z.Wheeler(75)
102,43,May 19,False,PHI,"W,3-1",38,37,3,11,1,0,1,3,1,0,9,0,0,0,0,1,0,0,0.231,0.297,0.368,0.665,8,12,R,Z.Eflin(58)
103,44,May 20,False,PHI,"W,6-0",39,34,6,8,2,1,2,5,5,1,10,0,0,0,1,1,1,0,0.231,0.298,0.372,0.669,6,13,R,D.Hale(54)
104,45,May 21,True,NYM,"L,5-6",49,43,5,11,1,0,1,4,5,1,18,0,0,1,0,1,0,2,0.232,0.298,0.371,0.669,11,21,R,M.Stroman(59)
105,46,May 22,True,NYM,"W,3-1",33,31,3,7,1,0,1,3,1,1,13,0,0,1,0,1,0,0,0.232,0.297,0.371,0.668,4,14,L,J.Lucchesi(68)
106,47,May 23,True,NYM,"W,5-1",35,31,5,7,0,0,0,3,3,0,5,1,0,0,1,0,0,0,0.232,0.298,0.368,0.666,6,11,R,J.Yamamoto(36)
107,48,May 24,True,PHI,"W,9-6",38,34,9,12,6,1,1,9,2,0,7,1,0,1,1,1,0,0,0.234,0.3,0.374,0.674,5,17,R,Z.Eflin(50)
108,49,May 25,True,PHI,"L,0-2",33,29,0,5,0,0,0,0,4,0,7,0,0,0,0,1,2,1,0.233,0.299,0.371,0.67,6,12,R,V.Velasquez(68)
109,50,May 26,True,PHI,"W,4-2",36,31,4,7,0,0,0,4,4,0,6,1,0,0,0,0,1,0,0.233,0.3,0.368,0.668,8,16,R,A.Nola(67)
110,51,May 27,True,PHI,"L,2-3",35,27,2,4,1,0,0,2,7,0,9,0,0,1,0,1,0,0,0.232,0.3,0.365,0.665,6,15,R,S.Howard(55)
111,52,May 28,False,BOS,"L,2-5",25,22,2,5,1,0,1,2,3,0,6,0,0,0,0,1,0,0,0.232,0.3,0.366,0.666,5,9,L,M.Pérez(53)
112,53,May 29,False,BOS,"L,1-3",40,37,1,10,2,0,0,1,3,0,14,0,0,0,0,1,2,0,0.233,0.301,0.365,0.666,12,10,R,N.Eovaldi(66)
113,54,Jun 1,False,TOR,"L,1-5",36,32,1,7,1,0,0,1,4,0,14,0,0,0,0,2,1,0,0.232,0.301,0.363,0.664,8,11,L,R.Ray(63)
114,55,Jun 2,False,TOR,"L,5-6",39,33,5,6,0,0,4,5,4,1,10,2,0,0,0,0,0,0,0.231,0.301,0.366,0.667,7,9,R,A.Manoah(38)
115,56,Jun 3,False,PIT,"L,3-5",36,32,3,7,2,0,0,3,2,0,5,0,2,0,0,0,1,0,0.231,0.301,0.365,0.665,6,16,L,T.Anderson(50)
116,57,Jun 4,False,PIT,"L,2-9",36,32,2,5,4,0,0,2,4,0,9,0,0,0,0,0,0,0,0.23,0.3,0.363,0.663,7,17,R,M.Keller(43)
117,58,Jun 5,False,PIT,"L,7-8",49,45,7,11,4,0,3,7,3,1,12,0,0,1,0,1,0,0,0.23,0.299,0.367,0.667,9,19,R,C.De Jong(37)
118,59,Jun 6,False,PIT,"W,3-1",34,30,3,5,0,0,1,2,2,0,6,1,0,1,0,1,0,1,0.229,0.298,0.366,0.664,4,10,R,C.Kuhl(57)
119,60,Jun 7,False,BOS,"L,3-5",44,38,3,12,3,0,1,3,5,0,13,1,0,0,0,1,3,0,0.231,0.301,0.368,0.668,14,9,R,N.Pivetta(45)
120,61,Jun 8,True,COL,"W,6-2",37,35,6,13,1,1,0,6,1,0,12,0,0,1,0,1,1,0,0.233,0.302,0.369,0.671,7,11,R,A.Senzatela(45)
121,62,Jun 9,True,COL,"L,3-4",40,34,3,9,2,0,1,3,4,0,8,2,0,0,0,0,0,1,0.234,0.303,0.37,0.673,10,18,L,A.Gomber(58)
122,63,Jun 10,True,COL,"W,11-4",42,39,11,16,4,0,3,10,3,0,10,0,0,0,0,1,0,0,0.237,0.306,0.377,0.683,7,14,R,C.González(18)
123,64,Jun 11,True,ATL,"W,4-3",36,27,4,5,1,0,0,4,7,0,7,1,0,1,0,0,0,1,0.237,0.307,0.375,0.682,8,16,R,C.Morton(37)
124,65,Jun 12,True,ATL,"W,4-2",33,29,4,8,0,0,2,4,2,0,5,1,0,1,0,1,2,0,0.237,0.307,0.376,0.683,5,15,L,M.Fried(52)
125,66,Jun 13,True,ATL,"L,4-6",37,36,4,9,1,0,0,3,1,0,12,0,0,0,0,0,1,0,0.237,0.306,0.375,0.681,6,17,L,D.Smyly(52)
126,67,Jun 14,False,STL,"L,2-4",33,30,2,5,1,0,0,2,3,0,9,0,0,0,0,0,0,0,0.236,0.306,0.372,0.678,4,14,R,A.Wainwright(59)
127,68,Jun 15,False,STL,"L,1-2",36,30,1,3,0,0,0,1,6,0,10,0,0,0,0,0,0,0,0.234,0.305,0.369,0.674,8,15,L,K.Kim(63)
128,69,Jun 16,False,STL,"L,0-1",34,32,0,6,0,0,0,0,1,0,6,1,0,0,0,1,0,0,0.234,0.304,0.366,0.67,7,9,R,J.Oviedo(69)
129,70,Jun 18,False,CHC,"W,10-2",42,34,10,9,1,0,3,10,7,0,8,0,1,0,0,0,0,0,0.234,0.305,0.369,0.674,5,12,R,Z.Davies(25)
130,71,Jun 19,False,CHC,"W,11-1",43,37,11,11,2,0,4,10,4,0,9,0,1,1,0,0,5,0,0.235,0.306,0.374,0.68,5,13,R,J.Arrieta(32)
131,72,Jun 20,False,CHC,"L,0-2",33,33,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.235,0.305,0.371,0.676,6,15,R,A.Mills(58)
132,73,Jun 22,True,TOR,"L,1-2",31,30,1,3,0,0,1,1,1,0,11,0,0,0,1,0,0,1,0.233,0.303,0.369,0.672,3,11,R,R.Stripling(70)
133,74,Jun 23,True,TOR,"L,1-3",34,33,1,5,1,0,1,1,1,0,9,0,0,0,1,0,1,0,0.232,0.301,0.368,0.669,6,14,L,R.Ray(65)
134,75,Jun 24,True,WSN,"L,3-7",35,32,3,7,0,0,1,3,3,0,9,0,0,0,1,2,0,1,0.232,0.301,0.367,0.668,5,17,R,J.Ross(75)
135,76,Jun 25,True,WSN,"W,11-2",42,36,11,11,3,0,2,11,5,0,6,0,1,0,2,0,2,0,0.233,0.302,0.37,0.672,7,14,L,J.Lester(17)
136,77,Jun 26,True,WSN,"W,3-2",31,30,3,6,2,1,1,3,1,0,8,0,0,0,0,0,0,0,0.232,0.301,0.371,0.672,4,13,L,P.Corbin(56)
137,78,Jun 27,True,WSN,"L,1-5",36,32,1,6,1,1,0,1,3,0,10,1,0,0,0,1,1,0,0.232,0.301,0.369,0.67,8,15,R,M.Scherzer(63)
138,79,Jun 29,False,PHI,"L,3-4",34,31,3,4,0,0,1,2,3,0,10,0,0,0,0,0,1,0,0.231,0.3,0.368,0.668,4,14,R,V.Velasquez(80)
139,80,Jun 30,False,PHI,"W,11-6",48,47,11,18,4,0,2,10,1,0,16,0,0,0,2,0,0,0,0.233,0.301,0.372,0.673,10,18,R,A.Nola(29)
140,81,Jul 2,False,ATL,"L,0-1",36,29,0,5,0,0,0,0,7,0,9,0,0,0,0,1,0,0,0.233,0.302,0.37,0.671,9,17,L,D.Smyly(68)
141,82,Jul 3,False,ATL,"W,3-2",36,30,3,5,0,0,1,3,5,0,10,0,1,0,0,0,0,0,0.232,0.302,0.368,0.67,6,15,L,K.Muller(52)
142,83,Jul 4,False,ATL,"L,7-8",44,40,7,12,0,0,3,7,2,0,13,0,1,1,0,0,3,0,0.233,0.302,0.371,0.673,8,16,R,C.Morton(47)
143,84,Jul 5,True,LAD,"W,5-4",36,30,5,8,0,0,1,4,4,0,9,1,1,0,1,1,3,1,0.233,0.303,0.371,0.673,7,15,R,W.Buehler(47)
144,85,Jul 6,True,LAD,"W,2-1",40,36,2,8,2,0,0,1,3,1,9,1,0,0,0,0,2,1,0.233,0.303,0.37,0.672,10,18,R,T.Gonsolin(66)
145,86,Jul 7,True,LAD,"W,9-6",40,34,9,9,1,0,4,9,4,1,12,0,1,0,1,0,2,0,0.233,0.303,0.373,0.676,5,15,R,J.Reed(47)
146,87,Jul 8,True,LAD,"L,1-6",36,34,1,8,0,0,1,1,2,0,11,0,0,0,0,1,0,0,0.233,0.303,0.372,0.675,8,13,L,J.Urías(68)
147,88,Jul 9,True,ATL,"L,0-5",32,28,0,2,0,0,0,0,3,0,10,0,1,0,0,0,0,0,0.232,0.302,0.369,0.671,5,14,R,C.Morton(78)
148,89,Jul 10,True,ATL,"L,4-5",39,38,4,11,1,0,1,4,1,0,10,0,0,0,0,0,1,0,0.233,0.302,0.37,0.671,8,18,L,M.Fried(41)
149,90,Jul 11,True,ATL,"W,7-4",40,35,7,12,3,1,1,7,5,1,10,0,0,0,0,1,2,0,0.234,0.303,0.372,0.675,9,14,R,I.Anderson(28)
150,91,Jul 16 (1),False,PHI,"L,2-5",28,28,2,8,3,0,0,2,0,0,12,0,0,0,0,1,0,0,0.234,0.303,0.372,0.675,5,13,L,M.Moore(52)
151,92,Jul 16 (2),False,PHI,"W,7-0",34,30,7,8,3,0,2,7,2,0,9,2,0,0,1,0,0,0,0.235,0.303,0.374,0.678,6,13,R,Z.Eflin(30)
